Algoritmo,NÂº de Clusters,Silhouette,Tempo (s)
KMeans,3,0.9333308433,0.4584422112
KMeans,4,0.8450108547,0.3349335194
KMeans,5,0.6830579159,0.3429758549
KMeans,6,0.6903547041,0.3726661205
KMeans,7,0.6914479380,0.3681585789
KMeans,8,0.6764865341,0.3618180752
KMeans,9,0.6739565040,0.3491618633
KMeans,10,0.6633585280,0.3733656406
KMeans,11,0.6757551446,0.3533201218
KMeans,12,0.6780916929,0.3590338230
KMeans,13,0.6828348728,0.3575208187
KMeans,14,0.6808923920,0.3596422672
KMeans,15,0.6650468781,0.3694596291
MiniBatchKMeans,3,0.9333308433,0.3643686771
MiniBatchKMeans,4,0.8454188163,0.3572421074
MiniBatchKMeans,5,0.8518103342,0.3584902287
MiniBatchKMeans,6,0.6902421753,0.3647553921
MiniBatchKMeans,7,0.6641736174,0.3821585178
MiniBatchKMeans,8,0.6609313193,0.3570799828
MiniBatchKMeans,9,0.6584285342,0.3705418110
MiniBatchKMeans,10,0.6474324056,0.3824107647
MiniBatchKMeans,11,0.5899692397,0.3813478947
MiniBatchKMeans,12,0.6614359962,0.3783528805
MiniBatchKMeans,13,0.5738976532,0.3630781174
MiniBatchKMeans,14,0.6043538740,0.3799951077
MiniBatchKMeans,15,0.5988033291,0.3929567337
DBSCAN,Auto,-0.5057078236,0.3506553173
HDBSCAN,Auto,0.5466267878,0.3567447662
